City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Hay River,CA,60.8156,-115.7999,-27.44,75,75,4.61,broken clouds
216,Cidreira,BR,-30.1811,-50.2056,73.49,72,0,20.49,clear sky
217,Urumqi,CN,43.801,87.6005,11.35,92,100,2.24,mist
218,Meiktila,MM,20.8667,95.8667,65.66,63,11,0.56,few clouds
219,Aripuana,BR,-9.1667,-60.6333,82.53,82,97,1.45,overcast clouds
220,Monrovia,LR,6.3005,-10.7969,80.37,75,8,7.83,clear sky
221,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,75,11.5,broken clouds
222,Puerto Leguizamo,CO,-0.1934,-74.7819,85.44,59,99,0.92,overcast clouds
223,Talnakh,RU,69.4865,88.3972,-15.95,95,65,10.02,broken clouds
224,Anadyr,RU,64.75,177.4833,21.7,58,0,13.42,clear sky
225,Masindi,UG,1.6744,31.715,71.22,59,100,0.81,overcast clouds
226,Provideniya,RU,64.3833,-173.3,16.25,76,1,22.17,clear sky
227,Port Moresby,PG,-9.4431,147.1797,76.42,94,40,5.75,scattered clouds
228,Bathsheba,BB,13.2167,-59.5167,83.01,65,20,16.11,light rain
229,Zorritos,PE,-3.6805,-80.6782,82.69,69,94,10.98,overcast clouds
230,Akhtanizovskaya,RU,45.32,37.1,36.07,83,14,6.11,few clouds
231,Pijijiapan,MX,15.7011,-93.23,93.02,37,0,3.49,clear sky
232,Khash,IR,28.2211,61.2158,41.32,44,96,4.27,overcast clouds
233,Hilo,US,19.7297,-155.09,83.28,71,20,4.61,few clouds
234,Fort Nelson,CA,58.8053,-122.7002,-29.61,68,100,2.3,light snow
235,Arman,RU,59.7,150.1667,6.85,67,100,14.41,overcast clouds
236,Sokolka,PL,53.4072,23.5023,36.66,99,100,5.32,overcast clouds
237,Berlevag,NO,70.8578,29.0864,26.55,93,100,5.75,light snow
238,Maymyo,MM,22.0333,96.4667,55.96,79,87,2.57,overcast clouds
239,Tabou,CI,4.423,-7.3528,79.99,78,19,8.5,few clouds
240,Zeya,RU,53.75,127.2667,-5.78,94,48,4.32,scattered clouds
241,Pacific Grove,US,36.6177,-121.9166,63.25,82,0,5.99,clear sky
242,Hoquiam,US,46.9809,-123.8893,40.93,94,100,12.66,light rain
243,Lakatoro,VU,-16.0999,167.4164,82.62,74,10,8.37,clear sky
244,Kahului,US,20.8947,-156.47,78.84,74,20,11.5,few clouds
245,Vestmanna,FO,62.1564,-7.1664,27.52,69,100,14.97,overcast clouds
246,Treinta Y Tres,UY,-33.2333,-54.3833,89.11,29,93,16.87,overcast clouds
247,Wladyslawowo,PL,54.7909,18.4009,39.47,75,67,9.8,broken clouds
248,Brodick,GB,55.5754,-5.1472,42.12,94,100,13.29,overcast clouds
